model_id,d,L,H,params,fwd_flops_per_jet,train_flops_per_jet
S1,32,1,2,17914,6797312,20391936
S2,32,2,2,34362,9975872,29927616
S3,48,1,3,39332,13523776,40571328
S4,48,2,3,76292,19876768,59630304
S5,64,1,4,69086,22495872,67487616
M1,64,2,4,134750,33080064,99240192
M2,64,4,4,266078,54248448,162745344
M3,96,2,6,301250,69393856,208181568
M4,64,6,4,397406,75416832,226250496
M5,128,2,8,533862,118917248,356751744
M6,96,4,6,596546,113827648,341482944
M7,96,6,6,891842,158261440,474784320
